tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Alliance républicaine,0.0
1,01,AIN,1,Centre Démocrate,17892.0
1,01,AIN,1,Centristes ralliés,0.0
1,01,AIN,1,Divers extrême droite,0.0
1,01,AIN,1,Divers gaullistes,0.0
1,01,AIN,1,Extrême Gauche,0.0
1,01,AIN,1,Fédération de la Gauche Démocrate et Socialiste,12348.0
1,01,AIN,1,Modérés,1471.0
1,01,AIN,1,Parti Socialiste Unifié,0.0
1,01,AIN,1,Parti communiste,6607.0
1,01,AIN,1,Parti communiste- apparentés,0.0
1,01,AIN,1,Radicaux de droite,0.0
1,01,AIN,1,Régionalistes,0.0
1,01,AIN,1,Républicains Indépendants,0.0
1,01,AIN,1,Union des Démocrates pour la Vème République,10509.0
1,01,AIN,1,abstentions,19539.0
1,01,AIN,1,blancs_nuls,837.0
1,01,AIN,2,Alliance républicaine,0.0
1,01,AIN,2,Centre Démocrate,0.0
1,01,AIN,2,Centristes ralliés,0.0
1,01,AIN,2,Divers extrême droite,0.0
1,01,AIN,2,Divers gaullistes,0.0
1,01,AIN,2,Extrême Gauche,0.0
1,01,AIN,2,Fédération de la Gauche Démocrate et Socialiste,10352.0
1,01,AIN,2,Modérés,2421.0
1,01,AIN,2,Parti Socialiste Unifié,0.0
1,01,AIN,2,Parti communiste,11105.0
1,01,AIN,2,Parti communiste- apparentés,0.0
1,01,AIN,2,Radicaux de droite,0.0
1,01,AIN,2,Régionalistes,0.0
1,01,AIN,2,Républicains Indépendants,27551.0
1,01,AIN,2,Union des Démocrates pour la Vème République,0.0
1,01,AIN,2,abstentions,15922.0
1,01,AIN,2,blancs_nuls,1137.0
1,01,AIN,3,Alliance républicaine,0.0
1,01,AIN,3,Centre Démocrate,15900.0
1,01,AIN,3,Centristes ralliés,0.0
1,01,AIN,3,Divers extrême droite,0.0
1,01,AIN,3,Divers gaullistes,0.0
1,01,AIN,3,Extrême Gauche,0.0
1,01,AIN,3,Fédération de la Gauche Démocrate et Socialiste,10140.0
1,01,AIN,3,Modérés,1144.0
1,01,AIN,3,Parti Socialiste Unifié,0.0
1,01,AIN,3,Parti communiste,7692.0
1,01,AIN,3,Parti communiste- apparentés,0.0
1,01,AIN,3,Radicaux de droite,0.0
1,01,AIN,3,Régionalistes,0.0
1,01,AIN,3,Républicains Indépendants,15907.0
