tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Divers droite,2211.0
1,01,AIN,1,Divers gauche,0.0
1,01,AIN,1,Ecologistes,0.0
1,01,AIN,1,Extrême droite,0.0
1,01,AIN,1,Extrême gauche,1302.0
1,01,AIN,1,Front Autogestionnaire,2340.0
1,01,AIN,1,Gaullistes d'opposition,706.0
1,01,AIN,1,Parti Socialiste-Mouvement des Radicaux de Gauche,18769.0
1,01,AIN,1,Parti communiste,8679.0
1,01,AIN,1,Rassemblement Pour la République,17256.0
1,01,AIN,1,Union pour la Démocratie Française,14499.0
1,01,AIN,1,abstentions,17217.0
1,01,AIN,1,blancs_nuls,1074.0
1,01,AIN,2,Divers droite,1452.0
1,01,AIN,2,Divers gauche,0.0
1,01,AIN,2,Ecologistes,2937.0
1,01,AIN,2,Extrême droite,0.0
1,01,AIN,2,Extrême gauche,778.0
1,01,AIN,2,Front Autogestionnaire,463.0
1,01,AIN,2,Gaullistes d'opposition,654.0
1,01,AIN,2,Parti Socialiste-Mouvement des Radicaux de Gauche,12935.0
1,01,AIN,2,Parti communiste,15127.0
1,01,AIN,2,Rassemblement Pour la République,9787.0
1,01,AIN,2,Union pour la Démocratie Française,25667.0
1,01,AIN,2,abstentions,15921.0
1,01,AIN,2,blancs_nuls,1297.0
1,01,AIN,3,Divers droite,1413.0
1,01,AIN,3,Divers gauche,0.0
1,01,AIN,3,Ecologistes,4965.0
1,01,AIN,3,Extrême droite,0.0
1,01,AIN,3,Extrême gauche,1424.0
1,01,AIN,3,Front Autogestionnaire,830.0
1,01,AIN,3,Gaullistes d'opposition,0.0
1,01,AIN,3,Parti Socialiste-Mouvement des Radicaux de Gauche,16151.0
1,01,AIN,3,Parti communiste,8889.0
1,01,AIN,3,Rassemblement Pour la République,0.0
1,01,AIN,3,Union pour la Démocratie Française,28084.0
1,01,AIN,3,abstentions,14153.0
1,01,AIN,3,blancs_nuls,1120.0
1,02,AISNE,1,Divers droite,0.0
1,02,AISNE,1,Divers gauche,1916.0
1,02,AISNE,1,Ecologistes,0.0
1,02,AISNE,1,Extrême droite,0.0
1,02,AISNE,1,Extrême gauche,1874.0
1,02,AISNE,1,Front Autogestionnaire,0.0
1,02,AISNE,1,Gaullistes d'opposition,0.0
1,02,AISNE,1,Parti Socialiste-Mouvement des Radicaux de Gauche,18789.0
1,02,AISNE,1,Parti communiste,9985.0
1,02,AISNE,1,Rassemblement Pour la République,13871.0
1,02,AISNE,1,Union pour la Démocratie Française,8480.0
1,02,AISNE,1,abstentions,8044.0
1,02,AISNE,1,blancs_nuls,1154.0
1,02,AISNE,2,Divers droite,875.0
