tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Centre Démocrate-Union des Républicains de Progrès,16860.0
1,01,AIN,1,Centre Démocratie et Progrès,0.0
1,01,AIN,1,Divers Union des Républicains de Progrès,0.0
1,01,AIN,1,Divers droite,914.0
1,01,AIN,1,Divers gauche,0.0
1,01,AIN,1,Divers gaullistes,0.0
1,01,AIN,1,Divers réformateurs,0.0
1,01,AIN,1,Extrême droite,0.0
1,01,AIN,1,Ligue Communiste Révolutionaire,0.0
1,01,AIN,1,Lutte Ouvrière,0.0
1,01,AIN,1,Mouvement des Radicaux de Gauche,0.0
1,01,AIN,1,Organisation Communiste Révolutionaire,0.0
1,01,AIN,1,Parti Socialiste,8071.0
1,01,AIN,1,Parti Socialiste Unifié,1939.0
1,01,AIN,1,Parti communiste,7901.0
1,01,AIN,1,Radicaux réformateurs,8532.0
1,01,AIN,1,Républicains Indépendants,0.0
1,01,AIN,1,Républicains Indépendants-Union des Républicains de Progrès,0.0
1,01,AIN,1,Union Des Démocrates pour la Vème République-Union des Républicains de Progrès,0.0
1,01,AIN,1,Union des Démocrates pour la Vème République,8493.0
1,01,AIN,1,abstentions,19679.0
1,01,AIN,1,blancs_nuls,960.0
1,01,AIN,2,Centre Démocrate-Union des Républicains de Progrès,0.0
1,01,AIN,2,Centre Démocratie et Progrès,0.0
1,01,AIN,2,Divers Union des Républicains de Progrès,0.0
1,01,AIN,2,Divers droite,967.0
1,01,AIN,2,Divers gauche,0.0
1,01,AIN,2,Divers gaullistes,0.0
1,01,AIN,2,Divers réformateurs,0.0
1,01,AIN,2,Extrême droite,692.0
1,01,AIN,2,Ligue Communiste Révolutionaire,0.0
1,01,AIN,2,Lutte Ouvrière,0.0
1,01,AIN,2,Mouvement des Radicaux de Gauche,0.0
1,01,AIN,2,Organisation Communiste Révolutionaire,0.0
1,01,AIN,2,Parti Socialiste,9969.0
1,01,AIN,2,Parti Socialiste Unifié,1756.0
1,01,AIN,2,Parti communiste,11229.0
1,01,AIN,2,Radicaux réformateurs,4828.0
1,01,AIN,2,Républicains Indépendants,0.0
1,01,AIN,2,Républicains Indépendants-Union des Républicains de Progrès,27768.0
1,01,AIN,2,Union Des Démocrates pour la Vème République-Union des Républicains de Progrès,0.0
1,01,AIN,2,Union des Démocrates pour la Vème République,0.0
1,01,AIN,2,abstentions,16633.0
1,01,AIN,2,blancs_nuls,1008.0
1,01,AIN,3,Centre Démocrate-Union des Républicains de Progrès,0.0
1,01,AIN,3,Centre Démocratie et Progrès,1797.0
1,01,AIN,3,Divers Union des Républicains de Progrès,0.0
1,01,AIN,3,Divers droite,4454.0
1,01,AIN,3,Divers gauche,0.0
1,01,AIN,3,Divers gaullistes,0.0
1,01,AIN,3,Divers réformateurs,5045.0
1,01,AIN,3,Extrême droite,0.0
1,01,AIN,3,Ligue Communiste Révolutionaire,0.0
1,01,AIN,3,Lutte Ouvrière,0.0
1,01,AIN,3,Mouvement des Radicaux de Gauche,10634.0
1,01,AIN,3,Organisation Communiste Révolutionaire,0.0
1,01,AIN,3,Parti Socialiste,0.0
1,01,AIN,3,Parti Socialiste Unifié,1843.0
1,01,AIN,3,Parti communiste,7093.0
1,01,AIN,3,Radicaux réformateurs,0.0
1,01,AIN,3,Républicains Indépendants,0.0
1,01,AIN,3,Républicains Indépendants-Union des Républicains de Progrès,17791.0
1,01,AIN,3,Union Des Démocrates pour la Vème République-Union des Républicains de Progrès,0.0
1,01,AIN,3,Union des Démocrates pour la Vème République,0.0
1,01,AIN,3,abstentions,13961.0
1,01,AIN,3,blancs_nuls,1040.0
1,02,AISNE,1,Centre Démocrate-Union des Républicains de Progrès,0.0
1,02,AISNE,1,Centre Démocratie et Progrès,0.0
1,02,AISNE,1,Divers Union des Républicains de Progrès,0.0
1,02,AISNE,1,Divers droite,955.0
1,02,AISNE,1,Divers gauche,0.0
1,02,AISNE,1,Divers gaullistes,0.0
1,02,AISNE,1,Divers réformateurs,6747.0
1,02,AISNE,1,Extrême droite,0.0
1,02,AISNE,1,Ligue Communiste Révolutionaire,0.0
1,02,AISNE,1,Lutte Ouvrière,0.0
1,02,AISNE,1,Mouvement des Radicaux de Gauche,0.0
1,02,AISNE,1,Organisation Communiste Révolutionaire,0.0
1,02,AISNE,1,Parti Socialiste,11513.0
1,02,AISNE,1,Parti Socialiste Unifié,0.0
1,02,AISNE,1,Parti communiste,10291.0
1,02,AISNE,1,Radicaux réformateurs,0.0
1,02,AISNE,1,Républicains Indépendants,0.0
1,02,AISNE,1,Républicains Indépendants-Union des Républicains de Progrès,0.0
1,02,AISNE,1,Union Des Démocrates pour la Vème République-Union des Républicains de Progrès,17154.0
1,02,AISNE,1,Union des Démocrates pour la Vème République,0.0
1,02,AISNE,1,abstentions,7936.0
1,02,AISNE,1,blancs_nuls,950.0
1,02,AISNE,2,Centre Démocrate-Union des Républicains de Progrès,0.0
1,02,AISNE,2,Centre Démocratie et Progrès,0.0
