tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Centre National des Indépendants,0.0
1,01,AIN,1,Divers,0.0
1,01,AIN,1,Divers extrême droite,0.0
1,01,AIN,1,Divers extrême gauche,0.0
1,01,AIN,1,Divers gaullistes,0.0
1,01,AIN,1,Modérés,5402.0
1,01,AIN,1,Mouvement Républicain Populaire,10300.0
1,01,AIN,1,"Mouvement Républicain Populaire, Vème République",0.0
1,01,AIN,1,Parti Socialiste Unifié,0.0
1,01,AIN,1,Parti communiste,5169.0
1,01,AIN,1,Poujadiste,0.0
1,01,AIN,1,Radicaux centristes,0.0
1,01,AIN,1,Radicaux socialistes,0.0
1,01,AIN,1,"Républicains Indépendants,Vème République",0.0
1,01,AIN,1,Section Française de l'Internationale Ouvrière,9987.0
1,01,AIN,1,"Union pour la Nouvelle République, Union Pour le Travail",6744.0
1,01,AIN,1,abstentions,29471.0
1,01,AIN,1,blancs_nuls,805.0
1,01,AIN,2,Centre National des Indépendants,0.0
1,01,AIN,2,Divers,0.0
1,01,AIN,2,Divers extrême droite,0.0
1,01,AIN,2,Divers extrême gauche,0.0
1,01,AIN,2,Divers gaullistes,4857.0
1,01,AIN,2,Modérés,14016.0
1,01,AIN,2,Mouvement Républicain Populaire,0.0
1,01,AIN,2,"Mouvement Républicain Populaire, Vème République",0.0
1,01,AIN,2,Parti Socialiste Unifié,0.0
1,01,AIN,2,Parti communiste,8563.0
1,01,AIN,2,Poujadiste,0.0
1,01,AIN,2,Radicaux centristes,0.0
1,01,AIN,2,Radicaux socialistes,0.0
1,01,AIN,2,"Républicains Indépendants,Vème République",0.0
1,01,AIN,2,Section Française de l'Internationale Ouvrière,4636.0
1,01,AIN,2,"Union pour la Nouvelle République, Union Pour le Travail",7702.0
1,01,AIN,2,abstentions,27623.0
1,01,AIN,2,blancs_nuls,796.0
1,01,AIN,3,Centre National des Indépendants,0.0
1,01,AIN,3,Divers,0.0
1,01,AIN,3,Divers extrême droite,0.0
1,01,AIN,3,Divers extrême gauche,0.0
1,01,AIN,3,Divers gaullistes,0.0
1,01,AIN,3,Modérés,0.0
1,01,AIN,3,Mouvement Républicain Populaire,12622.0
1,01,AIN,3,"Mouvement Républicain Populaire, Vème République",0.0
1,01,AIN,3,Parti Socialiste Unifié,0.0
1,01,AIN,3,Parti communiste,6346.0
1,01,AIN,3,Poujadiste,0.0
1,01,AIN,3,Radicaux centristes,0.0
1,01,AIN,3,Radicaux socialistes,7493.0
1,01,AIN,3,"Républicains Indépendants,Vème République",0.0
1,01,AIN,3,Section Française de l'Internationale Ouvrière,0.0
1,01,AIN,3,"Union pour la Nouvelle République, Union Pour le Travail",10623.0
1,01,AIN,3,abstentions,25651.0
1,01,AIN,3,blancs_nuls,1029.0
1,02,AISNE,1,Centre National des Indépendants,7861.0
1,02,AISNE,1,Divers,0.0
1,02,AISNE,1,Divers extrême droite,0.0
1,02,AISNE,1,Divers extrême gauche,0.0
1,02,AISNE,1,Divers gaullistes,0.0
1,02,AISNE,1,Modérés,0.0
1,02,AISNE,1,Mouvement Républicain Populaire,0.0
1,02,AISNE,1,"Mouvement Républicain Populaire, Vème République",0.0
1,02,AISNE,1,Parti Socialiste Unifié,0.0
1,02,AISNE,1,Parti communiste,7405.0
1,02,AISNE,1,Poujadiste,0.0
1,02,AISNE,1,Radicaux centristes,0.0
1,02,AISNE,1,Radicaux socialistes,0.0
1,02,AISNE,1,"Républicains Indépendants,Vème République",0.0
1,02,AISNE,1,Section Française de l'Internationale Ouvrière,9273.0
1,02,AISNE,1,"Union pour la Nouvelle République, Union Pour le Travail",13390.0
1,02,AISNE,1,abstentions,13329.0
1,02,AISNE,1,blancs_nuls,1223.0
1,02,AISNE,2,Centre National des Indépendants,1577.0
1,02,AISNE,2,Divers,0.0
1,02,AISNE,2,Divers extrême droite,0.0
1,02,AISNE,2,Divers extrême gauche,0.0
1,02,AISNE,2,Divers gaullistes,0.0
1,02,AISNE,2,Modérés,0.0
1,02,AISNE,2,Mouvement Républicain Populaire,2499.0
1,02,AISNE,2,"Mouvement Républicain Populaire, Vème République",0.0
1,02,AISNE,2,Parti Socialiste Unifié,0.0
1,02,AISNE,2,Parti communiste,14119.0
1,02,AISNE,2,Poujadiste,0.0
1,02,AISNE,2,Radicaux centristes,0.0
1,02,AISNE,2,Radicaux socialistes,0.0
1,02,AISNE,2,"Républicains Indépendants,Vème République",0.0
1,02,AISNE,2,Section Française de l'Internationale Ouvrière,10097.0
1,02,AISNE,2,"Union pour la Nouvelle République, Union Pour le Travail",19800.0
1,02,AISNE,2,abstentions,18959.0
1,02,AISNE,2,blancs_nuls,1404.0
1,02,AISNE,3,Centre National des Indépendants,7366.0
1,02,AISNE,3,Divers,0.0
1,02,AISNE,3,Divers extrême droite,0.0
1,02,AISNE,3,Divers extrême gauche,0.0
1,02,AISNE,3,Divers gaullistes,0.0
1,02,AISNE,3,Modérés,0.0
1,02,AISNE,3,Mouvement Républicain Populaire,0.0
1,02,AISNE,3,"Mouvement Républicain Populaire, Vème République",0.0
1,02,AISNE,3,Parti Socialiste Unifié,0.0
1,02,AISNE,3,Parti communiste,8553.0
1,02,AISNE,3,Poujadiste,0.0
1,02,AISNE,3,Radicaux centristes,0.0
1,02,AISNE,3,Radicaux socialistes,0.0
1,02,AISNE,3,"Républicains Indépendants,Vème République",0.0
1,02,AISNE,3,Section Française de l'Internationale Ouvrière,5083.0
1,02,AISNE,3,"Union pour la Nouvelle République, Union Pour le Travail",15654.0
1,02,AISNE,3,abstentions,12103.0
1,02,AISNE,3,blancs_nuls,1175.0
1,02,AISNE,4,Centre National des Indépendants,2524.0
1,02,AISNE,4,Divers,0.0
1,02,AISNE,4,Divers extrême droite,0.0
1,02,AISNE,4,Divers extrême gauche,0.0
1,02,AISNE,4,Divers gaullistes,1426.0
1,02,AISNE,4,Modérés,0.0
1,02,AISNE,4,Mouvement Républicain Populaire,2550.0
1,02,AISNE,4,"Mouvement Républicain Populaire, Vème République",0.0
1,02,AISNE,4,Parti Socialiste Unifié,0.0
1,02,AISNE,4,Parti communiste,8696.0
1,02,AISNE,4,Poujadiste,0.0
1,02,AISNE,4,Radicaux centristes,0.0
1,02,AISNE,4,Radicaux socialistes,0.0
1,02,AISNE,4,"Républicains Indépendants,Vème République",0.0
1,02,AISNE,4,Section Française de l'Internationale Ouvrière,6135.0
1,02,AISNE,4,"Union pour la Nouvelle République, Union Pour le Travail",15612.0
1,02,AISNE,4,abstentions,13899.0
1,02,AISNE,4,blancs_nuls,2606.0
