tour,code_departement,departement,code_nuance,nuance,voix
1,01,AIN,COM,Communiste,6225
1,01,AIN,CPNT,Chasse Pêche Nature Traditions,1682
1,01,AIN,DIV,Divers,450
1,01,AIN,DVD,Divers droite,0
1,01,AIN,DVG,Divers gauche,0
1,01,AIN,ECO,Ecologiste,2688
1,01,AIN,EXD,Extrême droite,380
1,01,AIN,EXG,Extrême gauche,7710
1,01,AIN,FN,Front national,11189
1,01,AIN,MAJ,Majorité présidentielle,0
1,01,AIN,MPF,Mouvement pour la France,3492
1,01,AIN,RDG,Radical de gauche,9217
1,01,AIN,REG,Régionaliste,0
1,01,AIN,SOC,Socialiste,37828
1,01,AIN,UDFD,UDF-Mouvement Démocrate,16170
1,01,AIN,UMP,Union pour un Mouvement Populaire,108783
1,01,AIN,VEC,Les Verts,7250
1,01,AIN,abstentions,abstentions,159204
1,01,AIN,blancs_nuls,blancs_nuls,3241
1,02,AISNE,COM,Communiste,5729
1,02,AISNE,CPNT,Chasse Pêche Nature Traditions,2367
1,02,AISNE,DIV,Divers,1967
1,02,AISNE,DVD,Divers droite,1185
1,02,AISNE,DVG,Divers gauche,32359
1,02,AISNE,ECO,Ecologiste,979
1,02,AISNE,EXD,Extrême droite,510
1,02,AISNE,EXG,Extrême gauche,7939
1,02,AISNE,FN,Front national,15885
1,02,AISNE,MAJ,Majorité présidentielle,0
1,02,AISNE,MPF,Mouvement pour la France,4270
1,02,AISNE,RDG,Radical de gauche,0
1,02,AISNE,REG,Régionaliste,0
1,02,AISNE,SOC,Socialiste,54352
1,02,AISNE,UDFD,UDF-Mouvement Démocrate,8863
1,02,AISNE,UMP,Union pour un Mouvement Populaire,85367
1,02,AISNE,VEC,Les Verts,3580
1,02,AISNE,abstentions,abstentions,149087
1,02,AISNE,blancs_nuls,blancs_nuls,4095
1,03,ALLIER,COM,Communiste,20673
1,03,ALLIER,CPNT,Chasse Pêche Nature Traditions,629
1,03,ALLIER,DIV,Divers,704
1,03,ALLIER,DVD,Divers droite,1
1,03,ALLIER,DVG,Divers gauche,10975
1,03,ALLIER,ECO,Ecologiste,1691
1,03,ALLIER,EXD,Extrême droite,117
1,03,ALLIER,EXG,Extrême gauche,4010
1,03,ALLIER,FN,Front national,5140
1,03,ALLIER,MAJ,Majorité présidentielle,0
1,03,ALLIER,MPF,Mouvement pour la France,2135
1,03,ALLIER,RDG,Radical de gauche,15729
1,03,ALLIER,REG,Régionaliste,0
1,03,ALLIER,SOC,Socialiste,24171
1,03,ALLIER,UDFD,UDF-Mouvement Démocrate,8296
1,03,ALLIER,UMP,Union pour un Mouvement Populaire,65548
1,03,ALLIER,VEC,Les Verts,2648
1,03,ALLIER,abstentions,abstentions,94097
1,03,ALLIER,blancs_nuls,blancs_nuls,3677
1,04,ALPES DE HAUTE PROVENCE,COM,Communiste,3093
1,04,ALPES DE HAUTE PROVENCE,CPNT,Chasse Pêche Nature Traditions,1345
1,04,ALPES DE HAUTE PROVENCE,DIV,Divers,556
1,04,ALPES DE HAUTE PROVENCE,DVD,Divers droite,109
1,04,ALPES DE HAUTE PROVENCE,DVG,Divers gauche,0
1,04,ALPES DE HAUTE PROVENCE,ECO,Ecologiste,782
1,04,ALPES DE HAUTE PROVENCE,EXD,Extrême droite,438
1,04,ALPES DE HAUTE PROVENCE,EXG,Extrême gauche,2429
1,04,ALPES DE HAUTE PROVENCE,FN,Front national,3302
1,04,ALPES DE HAUTE PROVENCE,MAJ,Majorité présidentielle,0
1,04,ALPES DE HAUTE PROVENCE,MPF,Mouvement pour la France,969
1,04,ALPES DE HAUTE PROVENCE,RDG,Radical de gauche,0
1,04,ALPES DE HAUTE PROVENCE,REG,Régionaliste,0
1,04,ALPES DE HAUTE PROVENCE,SOC,Socialiste,25134
1,04,ALPES DE HAUTE PROVENCE,UDFD,UDF-Mouvement Démocrate,4110
1,04,ALPES DE HAUTE PROVENCE,UMP,Union pour un Mouvement Populaire,32994
1,04,ALPES DE HAUTE PROVENCE,VEC,Les Verts,2397
1,04,ALPES DE HAUTE PROVENCE,abstentions,abstentions,40276
1,04,ALPES DE HAUTE PROVENCE,blancs_nuls,blancs_nuls,1425
1,05,HAUTES ALPES,COM,Communiste,618
1,05,HAUTES ALPES,CPNT,Chasse Pêche Nature Traditions,1132
1,05,HAUTES ALPES,DIV,Divers,540
1,05,HAUTES ALPES,DVD,Divers droite,0
1,05,HAUTES ALPES,DVG,Divers gauche,0
1,05,HAUTES ALPES,ECO,Ecologiste,645
1,05,HAUTES ALPES,EXD,Extrême droite,225
1,05,HAUTES ALPES,EXG,Extrême gauche,4391
1,05,HAUTES ALPES,FN,Front national,1760
1,05,HAUTES ALPES,MAJ,Majorité présidentielle,0
1,05,HAUTES ALPES,MPF,Mouvement pour la France,536
1,05,HAUTES ALPES,RDG,Radical de gauche,11248
1,05,HAUTES ALPES,REG,Régionaliste,0
1,05,HAUTES ALPES,SOC,Socialiste,7972
1,05,HAUTES ALPES,UDFD,UDF-Mouvement Démocrate,10571
1,05,HAUTES ALPES,UMP,Union pour un Mouvement Populaire,25402
1,05,HAUTES ALPES,VEC,Les Verts,2507
1,05,HAUTES ALPES,abstentions,abstentions,34719
1,05,HAUTES ALPES,blancs_nuls,blancs_nuls,1255
1,06,ALPES MARITIMES,COM,Communiste,14981
1,06,ALPES MARITIMES,CPNT,Chasse Pêche Nature Traditions,799
1,06,ALPES MARITIMES,DIV,Divers,3093
1,06,ALPES MARITIMES,DVD,Divers droite,14921
1,06,ALPES MARITIMES,DVG,Divers gauche,135
1,06,ALPES MARITIMES,ECO,Ecologiste,5257
1,06,ALPES MARITIMES,EXD,Extrême droite,5979
1,06,ALPES MARITIMES,EXG,Extrême gauche,6984
1,06,ALPES MARITIMES,FN,Front national,26331
1,06,ALPES MARITIMES,MAJ,Majorité présidentielle,21805
1,06,ALPES MARITIMES,MPF,Mouvement pour la France,2299
1,06,ALPES MARITIMES,RDG,Radical de gauche,7372
1,06,ALPES MARITIMES,REG,Régionaliste,0
1,06,ALPES MARITIMES,SOC,Socialiste,49716
1,06,ALPES MARITIMES,UDFD,UDF-Mouvement Démocrate,18744
1,06,ALPES MARITIMES,UMP,Union pour un Mouvement Populaire,221466
1,06,ALPES MARITIMES,VEC,Les Verts,31974
1,06,ALPES MARITIMES,abstentions,abstentions,292842
1,06,ALPES MARITIMES,blancs_nuls,blancs_nuls,5962
1,07,ARDECHE,COM,Communiste,6719
1,07,ARDECHE,CPNT,Chasse Pêche Nature Traditions,2853
1,07,ARDECHE,DIV,Divers,1054
1,07,ARDECHE,DVD,Divers droite,9171
1,07,ARDECHE,DVG,Divers gauche,3952
1,07,ARDECHE,ECO,Ecologiste,1085
1,07,ARDECHE,EXD,Extrême droite,504
1,07,ARDECHE,EXG,Extrême gauche,5653
1,07,ARDECHE,FN,Front national,5370
1,07,ARDECHE,MAJ,Majorité présidentielle,1363
1,07,ARDECHE,MPF,Mouvement pour la France,1290
1,07,ARDECHE,RDG,Radical de gauche,0
1,07,ARDECHE,REG,Régionaliste,114
1,07,ARDECHE,SOC,Socialiste,43265
1,07,ARDECHE,UDFD,UDF-Mouvement Démocrate,9468
1,07,ARDECHE,UMP,Union pour un Mouvement Populaire,52305
1,07,ARDECHE,VEC,Les Verts,4537
1,07,ARDECHE,abstentions,abstentions,84707
1,07,ARDECHE,blancs_nuls,blancs_nuls,2568
1,08,ARDENNES,COM,Communiste,3532
1,08,ARDENNES,CPNT,Chasse Pêche Nature Traditions,0
1,08,ARDENNES,DIV,Divers,245
1,08,ARDENNES,DVD,Divers droite,0
1,08,ARDENNES,DVG,Divers gauche,9870
1,08,ARDENNES,ECO,Ecologiste,304
1,08,ARDENNES,EXD,Extrême droite,826
1,08,ARDENNES,EXG,Extrême gauche,3604
1,08,ARDENNES,FN,Front national,5240
1,08,ARDENNES,MAJ,Majorité présidentielle,0
1,08,ARDENNES,MPF,Mouvement pour la France,1050
1,08,ARDENNES,RDG,Radical de gauche,0
1,08,ARDENNES,REG,Régionaliste,0
1,08,ARDENNES,SOC,Socialiste,25273
1,08,ARDENNES,UDFD,UDF-Mouvement Démocrate,7349
1,08,ARDENNES,UMP,Union pour un Mouvement Populaire,56640
1,08,ARDENNES,VEC,Les Verts,1976
1,08,ARDENNES,abstentions,abstentions,82238
1,08,ARDENNES,blancs_nuls,blancs_nuls,1577
1,09,ARIEGE,COM,Communiste,4444
1,09,ARIEGE,CPNT,Chasse Pêche Nature Traditions,1743
1,09,ARIEGE,DIV,Divers,792
1,09,ARIEGE,DVD,Divers droite,0
1,09,ARIEGE,DVG,Divers gauche,0
1,09,ARIEGE,ECO,Ecologiste,244
1,09,ARIEGE,EXD,Extrême droite,325
1,09,ARIEGE,EXG,Extrême gauche,2927
1,09,ARIEGE,FN,Front national,2181
1,09,ARIEGE,MAJ,Majorité présidentielle,301
1,09,ARIEGE,MPF,Mouvement pour la France,1237
1,09,ARIEGE,RDG,Radical de gauche,0
1,09,ARIEGE,REG,Régionaliste,0
1,09,ARIEGE,SOC,Socialiste,31820
1,09,ARIEGE,UDFD,UDF-Mouvement Démocrate,4097
1,09,ARIEGE,UMP,Union pour un Mouvement Populaire,20120
1,09,ARIEGE,VEC,Les Verts,2402
1,09,ARIEGE,abstentions,abstentions,39619
1,09,ARIEGE,blancs_nuls,blancs_nuls,2033
1,10,AUBE,COM,Communiste,5347
1,10,AUBE,CPNT,Chasse Pêche Nature Traditions,0
1,10,AUBE,DIV,Divers,1684
1,10,AUBE,DVD,Divers droite,4643
1,10,AUBE,DVG,Divers gauche,0
1,10,AUBE,ECO,Ecologiste,1376
1,10,AUBE,EXD,Extrême droite,830
1,10,AUBE,EXG,Extrême gauche,2672
1,10,AUBE,FN,Front national,9696
1,10,AUBE,MAJ,Majorité présidentielle,0
1,10,AUBE,MPF,Mouvement pour la France,1893
1,10,AUBE,RDG,Radical de gauche,6680
1,10,AUBE,REG,Régionaliste,0
1,10,AUBE,SOC,Socialiste,15721
1,10,AUBE,UDFD,UDF-Mouvement Démocrate,6829
1,10,AUBE,UMP,Union pour un Mouvement Populaire,56817
1,10,AUBE,VEC,Les Verts,3453
1,10,AUBE,abstentions,abstentions,85790
1,10,AUBE,blancs_nuls,blancs_nuls,2339
1,11,AUDE,COM,Communiste,6856
1,11,AUDE,CPNT,Chasse Pêche Nature Traditions,2405
1,11,AUDE,DIV,Divers,680
1,11,AUDE,DVD,Divers droite,1
1,11,AUDE,DVG,Divers gauche,0
1,11,AUDE,ECO,Ecologiste,1326
1,11,AUDE,EXD,Extrême droite,1028
1,11,AUDE,EXG,Extrême gauche,5730
1,11,AUDE,FN,Front national,8043
1,11,AUDE,MAJ,Majorité présidentielle,546
1,11,AUDE,MPF,Mouvement pour la France,808
1,11,AUDE,RDG,Radical de gauche,0
1,11,AUDE,REG,Régionaliste,242
1,11,AUDE,SOC,Socialiste,63741
1,11,AUDE,UDFD,UDF-Mouvement Démocrate,8134
1,11,AUDE,UMP,Union pour un Mouvement Populaire,60403
1,11,AUDE,VEC,Les Verts,3677
1,11,AUDE,abstentions,abstentions,87670
1,11,AUDE,blancs_nuls,blancs_nuls,3530
1,12,AVEYRON,COM,Communiste,3597
1,12,AVEYRON,CPNT,Chasse Pêche Nature Traditions,2440
1,12,AVEYRON,DIV,Divers,1111
1,12,AVEYRON,DVD,Divers droite,0
1,12,AVEYRON,DVG,Divers gauche,2751
1,12,AVEYRON,ECO,Ecologiste,1589
1,12,AVEYRON,EXD,Extrême droite,129
1,12,AVEYRON,EXG,Extrême gauche,4907
1,12,AVEYRON,FN,Front national,3217
1,12,AVEYRON,MAJ,Majorité présidentielle,6535
1,12,AVEYRON,MPF,Mouvement pour la France,0
1,12,AVEYRON,RDG,Radical de gauche,4833
1,12,AVEYRON,REG,Régionaliste,431
1,12,AVEYRON,SOC,Socialiste,37577
1,12,AVEYRON,UDFD,UDF-Mouvement Démocrate,12528
1,12,AVEYRON,UMP,Union pour un Mouvement Populaire,60333
1,12,AVEYRON,VEC,Les Verts,2796
1,12,AVEYRON,abstentions,abstentions,69771
1,12,AVEYRON,blancs_nuls,blancs_nuls,3879
1,13,BOUCHES DU RHONE,COM,Communiste,62461
1,13,BOUCHES DU RHONE,CPNT,Chasse Pêche Nature Traditions,5495
1,13,BOUCHES DU RHONE,DIV,Divers,7332
1,13,BOUCHES DU RHONE,DVD,Divers droite,19224
1,13,BOUCHES DU RHONE,DVG,Divers gauche,10480
1,13,BOUCHES DU RHONE,ECO,Ecologiste,12882
1,13,BOUCHES DU RHONE,EXD,Extrême droite,5424
1,13,BOUCHES DU RHONE,EXG,Extrême gauche,20731
1,13,BOUCHES DU RHONE,FN,Front national,47502
1,13,BOUCHES DU RHONE,MAJ,Majorité présidentielle,0
1,13,BOUCHES DU RHONE,MPF,Mouvement pour la France,6094
1,13,BOUCHES DU RHONE,RDG,Radical de gauche,7083
1,13,BOUCHES DU RHONE,REG,Régionaliste,975
1,13,BOUCHES DU RHONE,SOC,Socialiste,150026
1,13,BOUCHES DU RHONE,UDFD,UDF-Mouvement Démocrate,45936
1,13,BOUCHES DU RHONE,UMP,Union pour un Mouvement Populaire,317351
1,13,BOUCHES DU RHONE,VEC,Les Verts,11004
1,13,BOUCHES DU RHONE,abstentions,abstentions,528273
1,13,BOUCHES DU RHONE,blancs_nuls,blancs_nuls,11219
1,14,CALVADOS,COM,Communiste,7476
1,14,CALVADOS,CPNT,Chasse Pêche Nature Traditions,6651
1,14,CALVADOS,DIV,Divers,2573
1,14,CALVADOS,DVD,Divers droite,11512
1,14,CALVADOS,DVG,Divers gauche,803
1,14,CALVADOS,ECO,Ecologiste,2123
1,14,CALVADOS,EXD,Extrême droite,730
1,14,CALVADOS,EXG,Extrême gauche,11899
1,14,CALVADOS,FN,Front national,9227
1,14,CALVADOS,MAJ,Majorité présidentielle,27975
1,14,CALVADOS,MPF,Mouvement pour la France,3598
1,14,CALVADOS,RDG,Radical de gauche,16248
1,14,CALVADOS,REG,Régionaliste,0
1,14,CALVADOS,SOC,Socialiste,69297
1,14,CALVADOS,UDFD,UDF-Mouvement Démocrate,13741
1,14,CALVADOS,UMP,Union pour un Mouvement Populaire,100521
1,14,CALVADOS,VEC,Les Verts,9197
1,14,CALVADOS,abstentions,abstentions,185891
1,14,CALVADOS,blancs_nuls,blancs_nuls,5139
